,0
Ipswich,1220.0
Albirex Niigata,1220.0
Mouscron,1219.0
Bray,1218.0
Ionikos,1218.0
Sturm Graz,1218.0
Haugesund,1217.0
Guangzhou R&F,1217.0
Tottenham,1217.0
Falkirk,1217.0
Konyaspor,1216.0
Santos,1216.0
Luzern,1216.0
Honka,1215.0
Stockport,1214.0
Lahti,1214.0
Zaragoza,1214.0
Sion,1214.0
Ein Frankfurt,1213.0
Hoffenheim,1213.0
Khimki,1213.0
Bohemians,1212.0
Banfield,1211.0
Kayserispor,1211.0
Everton,1210.0
Freiburg,1210.0
Raith Rvs,1209.0
Los Angeles Galaxy,1209.0
Iwata,1209.0
Istanbulspor,1209.0
Gaz Metan Medias,1208.0
Chievo,1207.0
Accrington,1207.0
Crystal Palace,1207.0
Polonia Warszawa,1206.0
Sociedad,1206.0
Columbus Crew,1205.0
Chalkidona,1205.0
Nordsjaelland,1205.0
Atlas,1205.0
Chesterfield,1204.0
Rakow,1204.0
Port Vale,1204.0
Palermo,1204.0
Nott'm Forest,1204.0
Charlton,1203.0
Tromso,1203.0
Genoa,1202.0
Independiente,1202.0
Aalesund,1202.0
Derby,1202.0
Vancouver Whitecaps,1201.0
Bochum,1200.0
Ross County,1199.0
Lille,1198.0
Sepsi Sf. Gheorghe,1198.0
Guizhou Zhicheng,1198.0
Birmingham,1198.0
Union Berlin,1198.0
Waregem,1198.0
Orebro,1197.0
Rubin Kazan,1197.0
Crewe,1197.0
Espanol,1197.0
Egaleo,1197.0
Fulham,1197.0
Pachuca,1196.0
Auxerre,1196.0
Varnamo,1195.0
Xanthi,1194.0
Harelbeke,1193.0
Rennes,1193.0
Cagliari,1192.0
Esbjerg,1192.0
Clyde,1192.0
Yanbian,1192.0
Lechia Gdansk,1190.0
Jagiellonia,1190.0
Munich 1860,1190.0
Duisburg,1190.0
Widzew Lodz,1189.0
Bologna,1189.0
Slask Wroclaw,1189.0
Celta,1189.0
Arsenal Tula,1188.0
Shelbourne,1188.0
Cannes,1188.0
FC Rapid Bucuresti,1188.0
Huracan,1188.0
Merida,1187.0
Swindon,1187.0
Atvidabergs,1187.0
Plymouth,1187.0
DC United,1187.0
Hannover,1187.0
Lecce,1187.0
Hobro,1186.0
Ankaraspor,1186.0
Airdrie,1186.0
Changchun Yatai,1186.0
Nagoya Grampus,1186.0
Oxford,1185.0
Wisla,1185.0
Belgrano,1185.0
Lorient,1185.0
Dundee,1184.0
Bristol City,1184.0
Nurnberg,1184.0
Tianjin Jinmen Tiger,1184.0
Como,1184.0
Toronto FC,1183.0
Brentford,1183.0
FC Dallas,1183.0
Salamanca,1182.0
Poli Iasi,1182.0
Blackpool,1182.0
Kuban,1182.0
Tigre,1180.0
Alloa,1180.0
Betis,1180.0
Alanyaspor,1180.0
U. Cluj,1180.0
Portland Timbers,1179.0
Livorno,1178.0
Vaslui,1177.0
Talleres Cordoba,1177.0
Atl. Tucuman,1177.0
Monterrey,1177.0
Chapecoense-SC,1176.0
TPS,1176.0
Nice,1176.0
Randers FC,1175.0
Antalyaspor,1175.0
Middlesbrough,1174.0
Argentinos Jrs,1174.0
Athletico-PR,1174.0
LASK,1174.0
Torino,1174.0
Millwall,1174.0
MyPa,1173.0
Wimbledon,1173.0
Pogon Szczecin,1173.0
Salernitana,1172.0
Salgueiros,1172.0
Wigan,1172.0
Hansa Rostock,1172.0
Gornik Zabrze,1172.0
Coritiba,1172.0
Odense,1171.0
Heerenveen,1171.0
Bristol Rvs,1170.0
Preston,1170.0
Aarhus,1170.0
Chateauroux,1170.0
Academica Clinceni,1169.0
Horsens,1169.0
Inverness C,1169.0
Leiria,1169.0
Osasuna,1169.0
Quilmes,1169.0
Gefle,1168.0
Uerdingen,1168.0
Sport Recife,1168.0
Verona,1168.0
Germinal,1167.0
FC Brasov,1167.0
Swansea,1167.0
Sogndal,1167.0
Westerlo,1167.0
Ural,1166.0
Karlsruhe,1166.0
Maritimo,1166.0
Gent,1166.0
Ilves,1166.0
Bury,1165.0
Colon Santa FE,1165.0
Southampton,1164.0
Leicester,1164.0
Giannina,1164.0
Hull,1164.0
Portsmouth,1164.0
Alaves,1164.0
Eibar,1164.0
Ad. Demirspor,1163.0
Heracles,1163.0
Sochi,1162.0
Sp Gijon,1162.0
Wolves,1162.0
Albacete,1161.0
Bahia,1161.0
Beijing Renhe,1161.0
Bradford,1161.0
Kavala,1161.0
Torquay,1160.0
FC Koln,1160.0
Thun,1160.0
Sonderjyske,1160.0
Messina,1160.0
Zawisza,1160.0
Walsall,1160.0
Start,1160.0
Compostela,1159.0
Silkeborg,1158.0
Altach,1158.0
Poli Timisoara,1158.0
Queretaro,1158.0
York,1158.0
St. Gilloise,1157.0
Olympiakos Volou,1157.0
Ayr,1156.0
Podbeskidzie,1156.0
Valerenga,1156.0
Morton,1156.0
Lokeren,1155.0
Malaga,1154.0
Lillestrom,1154.0
Nancy,1154.0
FC Voluntari,1153.0
St Etienne,1153.0
West Ham,1153.0
Denizlispor,1152.0
Wycombe,1152.0
Chester,1152.0
Diyarbakirspor,1152.0
Ahlen,1151.0
Aalst,1151.0
Ergotelis,1150.0
Bastia,1150.0
Ufa,1150.0
Sirius,1149.0
Manisaspor,1149.0
Rio Ave,1149.0
Ath Bilbao,1149.0
Charleroi,1149.0
Shenzhen,1148.0
Empoli,1148.0
Figueirense,1148.0
Augsburg,1148.0
Est Amadora,1148.0
Montpellier,1147.0
Girona,1147.0
Vitoria,1146.0
Kofu,1146.0
Watford,1146.0
Farense,1146.0
Jonkopings,1145.0
Chiapas,1145.0
Notts County,1145.0
Korona Kielce,1145.0
Gaziantep,1144.0
Levante,1144.0
Panetolikos,1142.0
Finn Harps,1142.0
Haka,1142.0
Wuhan FC,1142.0
Santander,1142.0
Partick,1141.0
Tenerife,1141.0
Leipzig,1140.0
Beauvais,1140.0
Radomiak Radom,1140.0
TB Berlin,1140.0
Venezia,1139.0
Osters,1139.0
U.N.A.M.- Pumas,1139.0
Martigues,1139.0
Proodeftiki,1138.0
Viborg,1138.0
Bielefeld,1138.0
Molenbeek,1138.0
Mjallby,1138.0
Krylya Sovetov,1137.0
Wisla Plock,1136.0
Fortaleza,1136.0
Ranheim,1136.0
Mantova,1136.0
JJK Jyvaskyla,1136.0
Lugano,1135.0
Guadalajara Chivas,1135.0
Sarpsborg 08,1134.0
Liaoning,1134.0
Rochdale,1134.0
Levadeiakos,1134.0
Eskisehirspor,1134.0
Sedan,1134.0
Gretna,1134.0
Perugia,1134.0
Brescia,1133.0
San Martin S.J.,1133.0
FC Arges,1133.0
Sheffield Weds,1133.0
Aachen,1132.0
Estoril,1132.0
Los Angeles FC,1132.0
Honefoss,1131.0
Cercle Brugge,1131.0
QPR,1131.0
Mannheim,1131.0
Las Palmas,1130.0
Veria,1130.0
NAC Breda,1130.0
Sundsvall,1129.0
U Craiova 1948,1129.0
Burnley,1129.0
Shijiazhuang,1129.0
Hamilton,1129.0
Osmanlispor,1128.0
Athinaikos,1128.0
Malatyaspor,1128.0
Cambridge,1127.0
Beira Mar,1127.0
St Truiden,1127.0
Meizhou Hakka,1126.0
Fleetwood Town,1126.0
Stoke,1126.0
Yozgatspor,1126.0
Olimpo Bahia Blanca,1126.0
Caen,1126.0
Hokkaido Consadole Sapporo,1126.0
Vallecano,1125.0
OFI Crete,1125.0
Stevenage,1125.0
Colorado Rapids,1125.0
Platanias,1125.0
Ancona,1124.0
Halmstad,1124.0
Southend,1124.0
Nacional,1123.0
Sochaux,1123.0
Ceahlaul,1123.0
Vicenza,1123.0
Hereford,1123.0
Arbroath,1123.0
Sheffield United,1123.0
Limerick,1122.0
Samsunspor,1122.0
Fortuna Dusseldorf,1122.0
PS Kemi,1122.0
Kalamata,1122.0
Cangzhou,1121.0
Volendam,1121.0
Criciuma,1121.0
Sassuolo,1121.0
UC Dublin,1120.0
Veracruz,1120.0
Kasimpasa,1120.0
M'Gladbach,1120.0
Setubal,1120.0
Dusseldorf,1119.0
MVV Maastricht,1119.0
Reggina,1118.0
Shonan Bellmare,1118.0
Valladolid,1118.0
Concordia,1118.0
Barnsley,1118.0
Wrexham,1118.0
Rizespor,1118.0
Atlanta Utd,1118.0
Akhisar Belediyespor,1118.0
Bournemouth,1117.0
Piacenza,1117.0
Jaro,1117.0
Erciyesspor,1117.0
Panthrakikos,1117.0
Graafschap,1116.0
Antwerp,1116.0
Valenciennes,1116.0
Admira,1116.0
Coventry,1116.0
Tranmere,1116.0
Kalamaria,1115.0
Sandnes,1115.0
Getafe,1115.0
Union de Santa Fe,1115.0
Norwich,1115.0
Utrecht,1115.0
Troyes,1114.0
Numancia,1114.0
Grimsby,1114.0
Otelul,1114.0
Aldosivi,1114.0
Greuther Furth,1113.0
Altay,1113.0
Veroia,1113.0
Niort,1113.0
Gil Vicente,1113.0
Toulouse,1112.0
HIFK,1112.0
Ried,1112.0
Volos NFC,1112.0
Pacos Ferreira,1112.0
Orenburg,1111.0
Nijmegen,1111.0
Doncaster,1111.0
Eth Asteras,1111.0
Extremadura,1111.0
Calarasi,1111.0
Burton,1111.0
Guingamp,1110.0
Longford,1110.0
Go Ahead Eagles,1109.0
Panahaiki,1109.0
Famalicao,1109.0
Karabukspor,1109.0
Toledo,1109.0
Lleida,1108.0
Siena,1108.0
Tirsense,1108.0
Termalica B-B.,1108.0
Espinho,1107.0
Atl. Rafaela,1107.0
Dalian Pro,1107.0
UTA Arad,1107.0
Sparta,1106.0
Mechelen,1106.0
Ponte Preta,1106.0
Kerkyra,1105.0
Belenenses,1105.0
Le Havre,1105.0
Leyton Orient,1105.0
Perpignan,1105.0
Pari NN,1104.0
Cottbus,1103.0
Lamia,1103.0
Kristiansund,1103.0
Kayseri,1103.0
Orduspor,1103.0
Varberg,1103.0
West Brom,1103.0
Edessaikos,1102.0
Badajoz,1102.0
Grodig,1102.0
Cesena,1101.0
Le Mans,1101.0
Dalian Yifang F.C.,1101.0
Unterhaching,1101.0
Modena,1100.0
