,0
Llagostera,964.0
Mazatlan FC,963.0
Spartans,963.0
Dep. Riestra,962.0
Kaiserslautern ,962.0
Essen,962.0
Maidstone,961.0
Virtus Entella,960.0
Athlone,960.0
Ecija,960.0
AFC Eskilstuna,960.0
Kastoria,960.0
Southport,960.0
Zhejiang Greentown,958.0
Granada 74,958.0
Daco-Getica Bucuresti,958.0
Pendikspor,957.0
Kifisia,956.0
Estrela,955.0
KPV Kokkola,955.0
CSA,955.0
Tokushima,955.0
Almere City,954.0
Ath Bilbao B,954.0
Rayo Majadahonda,952.0
Amorebieta,952.0
Helsingor,952.0
Alicante,951.0
Siirt Jet-PA,950.0
Red Star,950.0
Tubize,949.0
Chacarita Juniors,949.0
Mirandes,948.0
Yokohama FC,948.0
FeralpiSalo,948.0
Torpedo Moscow,947.0
Dover Athletic,947.0
Gateshead,947.0
Hayes & Yeading,945.0
Cobh Ramblers,943.0
Aves,943.0
Bistrita,943.0
Guiseley,942.0
Epinal,941.0
Algeciras,939.0
Sudtirol,939.0
Gubbio,939.0
SKA Khabarovsk,937.0
UCAM Murcia,937.0
Fermana,937.0
Jerv,937.0
Magdeburg,936.0
Alfreton Town,936.0
Elgin,936.0
Alessandria,935.0
Pau FC,934.0
Real Union,933.0
Zaglebie Sosnowiec,933.0
Ruch Chorzow,932.0
Lecco,932.0
HamKam,931.0
Inter Miami,928.0
CA Bastia,928.0
Havant & Waterlooville,927.0
Annecy,926.0
Volgar-Astrakhan,925.0
Oxford City,924.0
Edinburgh City,922.0
Hvidovre IF,920.0
Ull/Kisa,918.0
Schaffhausen,916.0
Parana,916.0
Spartak Nalchik,915.0
Treaty United,912.0
Ljungskile,907.0
Corona Brasov,905.0
BW Linz,902.0
Colon Santa Fe,897.0
Oster,894.0
Kongsvinger,884.0
Charlotte,881.0
Okayama,867.0
Brage,856.0
